student_id,course_id,semester,year
2019000000,102,Odd,2019
2019000000,101,Odd,2019
2019000000,105,Odd,2019
2019000000,110,Odd,2019
2019000001,102,Odd,2019
2019000001,109,Odd,2019
2019000002,107,Odd,2019
2019000002,101,Odd,2019
2019000002,109,Odd,2019
2019000002,108,Odd,2019
2019000003,109,Odd,2019
2019000003,101,Odd,2019
2019000004,109,Even,2019
2019000004,107,Even,2019
2019000004,104,Even,2019
2019000004,108,Even,2019
2019000005,103,Even,2019
2019000005,107,Even,2019
2019000006,103,Odd,2019
2019000006,104,Odd,2019
2019000006,106,Odd,2019
2019000007,107,Even,2019
2019000007,102,Even,2019
2019000008,110,Even,2019
2019000008,105,Even,2019
2019000008,101,Even,2019
2019000009,102,Even,2019
2019000009,107,Even,2019
2019000009,110,Even,2019
2019000009,105,Even,2019
2019000010,110,Odd,2019
2019000010,106,Odd,2019
2019000010,104,Odd,2019
2019000010,109,Odd,2019
2019000011,104,Odd,2019
2019000011,105,Odd,2019
2019000012,102,Even,2019
2019000012,107,Even,2019
2019000013,106,Even,2019
2019000013,103,Even,2019
2019000013,110,Even,2019
2019000014,105,Odd,2019
2019000014,102,Odd,2019
2019000015,104,Even,2019
2019000015,103,Even,2019
2019000015,108,Even,2019
2019000015,110,Even,2019
2019000016,109,Odd,2019
2019000016,104,Odd,2019
2019000016,106,Odd,2019
2019000016,107,Odd,2019
2019000017,101,Even,2019
2019000017,106,Even,2019
2019000018,102,Odd,2019
2019000018,104,Odd,2019
2019000018,106,Odd,2019
2019000019,108,Even,2019
2019000019,107,Even,2019
2019000019,110,Even,2019
2019000019,102,Even,2019
2019000020,104,Even,2019
2019000020,109,Even,2019
2019000021,110,Odd,2019
2019000021,107,Odd,2019
2019000021,109,Odd,2019
2019000021,103,Odd,2019
2019000022,109,Odd,2019
2019000022,108,Odd,2019
2019000023,102,Odd,2019
2019000023,103,Odd,2019
2019000024,107,Even,2019
2019000024,102,Even,2019
2019000024,110,Even,2019
2019000024,104,Even,2019
2019000025,105,Odd,2019
2019000025,109,Odd,2019
2019000025,101,Odd,2019
2019000025,106,Odd,2019
2019000026,109,Even,2019
2019000026,105,Even,2019
